given_q_label,given_q_text,source_type,nums,percent_nonnull,consistent/inconsistent,dlp_std_q,dlp_id_for_std_q,dlp_qid_all_qs (index),notes
Q1,"How would you rate the quality of the services you have
received from this supportive services provider?",pdf,16,,,,,,The PDF looks at Qs1 thru 4 together.
Q2,"If another Veteran or a friend were in need of similar
help, would you recommend this supportive services provider
to him or her?",pdf,16,,,,,,
Q3,"How satisfied are you with the services you have
received from this supportive services provider?",pdf,16,,,,,,
Q4,"If you needed help again and had a choice of where to
go at no cost to you, would you return to this supportive
services provider?",pdf,16,,,,,,
Q6abc,"Veterans were asked a series of questions about which supportive services they needed and
received. If they received the service, they were then asked about the quality of the service.
After answering questions about fifteen different specific services (inclusive of such things as
case management, health care and rental assistance), they were given the option to write in
services not mentioned that they felt they needed.",pdf,16,,,,,,"Interesting: There is no ""abc"" for Q6 in the table for 2016-17. Also, the last sentence makes me think it's referring to Q7."
Q7,"Is there any other feedback
about the supportive services provider that
you wish to provide to the VA?",pdf,16,,,,,,"This has 0 values in the 2016-17 table, but the PDF shows some results from the data"
Q8,Please indicate which supportive services you received and indicate the quality of the supportive services received.,pdf,16,,,,,,
Q1,"How would you rate the quality of the services you have
received from this supportive services provider?",pdf,17,,,,,,The PDF looks at Qs1 thru 4 together.
Q2,"If another Veteran or a friend were in need of similar help,
would you recommend this supportive services provider to him or
her?",pdf,17,,,,,,
Q3,"How satisfied are you with the services you have received
from this supportive services provider?",pdf,17,,,,,,
Q4,"If you needed help again and had a choice of where to go at
no cost to you, would you return to this supportive services
provider?",pdf,17,,,,,,
Q6abc,"Veterans were asked a series of questions about which supportive services they needed and
received. If they received the service, they were then asked about the quality of the service.
After answering questions about fifteen different specific services (inclusive of such things as
case management, health care and rental assistance), they were given the option to write in
services not mentioned that they felt they needed.",pdf,17,,,,,,"Interesting: There is no ""abc"" for Q6 in the table for 2016-17. Also, the last sentence makes me think it's referring to Q7."
Q7,"Is there any other feedback
about the supportive services provider that
you wish to provide to the VA?",pdf,17,,,,,,
Q1,"How would you rate the quality of the services you have
received from this supportive services provider?",pdf,18,,,,,,
Q6,"How satisfied are you with the courteousness of the staff person that you initially spoke with when
you contacted the provider?",pdf,18,,,,,,"Added this year, according to the PDF."
Q7,"How satisfied are you with the courteousness of the staff person that you dealt with most often
while you were working with this provider?",pdf,18,,,,,,"Added this year, according to the PDF."
Q8,"How satisfied are you with the timeliness of communication with the staff person that you dealt
with most often while you were working with this provider?",pdf,18,,,,,,"Added this year, according to the PDF."
Q9,"If your experiences were positive with this supportive services provider,
please tell us why.",pdf,18,,,,,,"These values are NA in the table for 2018-20, but there is some data crunching about it in the 2018 PDF."
Q10,"If your experiences were negative with this supportive services
provider, please tell us why.",pdf,18,,,,,,"These values are NA in the table for 2018-20, but there is some data crunching about it in the 2018 PDF."
Q11,"Please list any additional suggestions as to how to improve the SSVF
Program.",pdf,18,,,,,,"These values are NA in the table for 2018-20, but there is some data crunching about it in the 2018 PDF."
Q1,How would you rate the quality of the services you have received from this supportive services provider?,pdf,20,,,,,,
Q6,"How satisfied are you with the courteousness of the staff person that you initially spoke with when
you contacted the provider?",pdf,20,,,,,,The 2020 pdf gives an analysis of the relationship between Q1 and Q6 + Q7 + Q8. Might be the same with the 2018 pdf.
Q7,"How satisfied are you with the courteousness of the staff person that you dealt with most often
while you were working with this provider?",pdf,20,,,,,,The 2020 pdf gives an analysis of the relationship between Q1 and Q6 + Q7 + Q8. Might be the same with the 2018 pdf.
Q8,"How satisfied are you with the timeliness of communication with the staff person that you dealt
with most often while you were working with this provider?",pdf,20,,,,,,The 2020 pdf gives an analysis of the relationship between Q1 and Q6 + Q7 + Q8. Might be the same with the 2018 pdf.
